"License Number","Status","Type| Dup","Expir. Date","Primary Owner and Premises Addr.","Mailing Addr.","Action","Conditions","Escrow","District Code","Geo Code","Prem Street","City","County","Zip Code","Mailing Street","Mailing City","Mailing Zip Code","Mailing State"
"647572","Issued-Temp.","30","04/12/2024","DBA: HEYDAY PALM SPRINGS THE                            GOOD LIFE HOSPITALITY GROUP                               1550 N PALM CANYON DR,                             PALM SPRINGS, CA  92262-4410","2280 N GIRASOL AVE                               PALM SPRINGS, CA  92262-2885","PER","5, 7","CV ESCROW 4375 E CALLE DE RICARDO B PALM SPRINGS, CA  92264","8","3310","1550 N PALM CANYON DR","PALM SPRINGS","33","92262","2280 N GIRASOL AVE","PALM SPRINGS","92262","CA"
"647579","Issued-Temp.","30","04/12/2024","VALENTINOMALIBU                             29169 HEATHERCLIFF RD, STE 102,                             MALIBU, CA  90265-4183","22235 PACIFIC COAST HWY                              MALIBU, CA  90265-5055","PER","7","WESTSIDE ESCROW CORP 2104 WILSHIRE BLVD SANTA MONICA, CA  90403","5","1988","29169 HEATHERCLIFF RD, STE 102","MALIBU","19","90265","22235 PACIFIC COAST HWY","MALIBU","90265","CA"
"650226","Issued-Temp.","30","04/12/2024","DBA: WILD WEST FERMENTS                            WILD WEST FERMENTS                             80 FOURTH ST,                             POINT REYES STATION, CA  94956","PO BOX 525                              POINT REYES STATION, CA  94956","PER","","CALIFORNIA BUSINESS ESCROW INC 1748 MAIN ST ESCALON, CA  95320-1927","27","2100","80 FOURTH ST","POINT REYES STATION","21","94956","PO BOX 525","POINT REYES STATION","94956","CA"
"650226","Issued-Temp.","30","04/12/2024","DBA: WILD WEST FERMENTS                            WILD WEST FERMENTS                             80 FOURTH ST,                             POINT REYES STATION, CA  94956","PO BOX 525                              POINT REYES STATION, CA  94956","PER","","CALIFORNIA BUSINESS ESCROW INC 1748 MAIN ST ESCALON, CA  95320-1927","27","2100","80 FOURTH ST","POINT REYES STATION","21","94956","PO BOX 525","POINT REYES STATION","94956","CA"
"653596","Issued-Temp.","30","04/12/2024","DBA: 5 STAR LIQUOR                            HGB INC.                             35111 NEWARK BLVD, UNIT C,                             NEWARK, CA  94560-1258","1086 A ST                              HAYWARD, CA  94541-4119","PER","","BUSINESS & ESCROW SERVICE CENTER 3031 TISCH WAY 310 SAN JOSE, CA  95128","22","0108","35111 NEWARK BLVD, UNIT C","NEWARK","01","94560","1086 A ST","HAYWARD","94541","CA"
"654356","Issued-Temp.","30","04/13/2024","DBA: KB KORNER                            SAI KIRPA 2610 INC                             402 E REDLANDS BLVD,                             REDLANDS, CA  92373-5227","","PER","","GLEN OAKS ESCROW 24018 LYONS AVE SANTA CLARITA, CA  91321","7","3608","402 E REDLANDS BLVD","REDLANDS","36","92373","","","",""
"654416","Issued-Temp.","30","04/12/2024","DBA: ZENTAROU SUSHI AND SAKE BAR                            SRAPMONGKOL INC                             1380 9TH AVE,                             SAN FRANCISCO, CA  94122-2309","","PER","","MCGOVERN ESCROW SERVICES INC 436 14TH ST SUITE 1015 OAKLAND, CA  94612","24","3800","1380 9TH AVE","SAN FRANCISCO","38","94122","","","",""
"654447","Issued-Temp.","30","04/12/2024","EJA ENTERPRISES LLC                             203 MAIN ST,                             WEED, CA  96094","218 MAIN ST                              WEED, CA  96094","PER","","MT SHASTA TITLE 507 S MT SHASTA BLVD MOUNT SHASTA, CA  96067","31","4709","203 MAIN ST","WEED","47","96094","218 MAIN ST","WEED","96094","CA"
"654955","Issued-Temp.","30","04/12/2024","DBA: LIVING OUT                            KOAR PALM SPRINGS, LLC                             1122 E TAHQUITZ CANYON WAY,                             PALM SPRINGS, CA  92262-6822","1900 MAIN ST STE 700, C/O MICHAEL CHO, PTWWW                              IRVINE, CA  92614-7328","PER","","ABC ESCROW 2222 DAMON ST  LOS ANGELES, CA  90021","8","3310","1122 E TAHQUITZ CANYON WAY","PALM SPRINGS","33","92262","1900 MAIN ST STE 700, C/O MICHAEL CHO, PTWWW","IRVINE","92614","CA"
"655053","Issued-Temp.","30","04/12/2024","DBA: SHELTER COVE CAMPGROUND AND DELI                            SHELTER COVE CAMPGROUND, LLC                             492 MACHI RD,                             WHITETHORN, CA  95589-9138","PO BOX 10601                              RENO, NV  89510-0601","PER","","HUMBOLDT LAND TITLE, A DIVISION OF FNTCCA 930 6TH ST STE 200 EUREKA, CA  95501-1112","28","1200","492 MACHI RD","WHITETHORN","12","95589","PO BOX 10601","RENO","89510","NV"
"655073","Issued-Temp.","30","04/12/2024","DBA: BELLAGRACE VINEYARDS                            BELLAGRACE VINEYARDS                             73 MAIN ST,                             SUTTER CREEK, CA  95685-4175","22715 UPTON RD                              PLYMOUTH, CA  95669-9509","PER","7","","23","0305","73 MAIN ST","SUTTER CREEK","03","95685","22715 UPTON RD","PLYMOUTH","95669","CA"
"655186","Issued-Temp.","30","04/12/2024","DBA: SKYLINKS AT BUCHANAN FIELDS                              BUCHANAN FIELDS GOLF CLUB LLC                             1091 CONCORD AVE,                             CONCORD, CA  94520-5603","","PER","","BEND LAW GROUP 2181 GREENWICH ST SAN FRANCISCO, CA  94123","22","0703","1091 CONCORD AVE","CONCORD","07","94520","","","",""
"655235","Issued-Temp.","30","04/12/2024","DBA: PETE'S RESTAURANT & BREWHOUSE                            3 MUSKETEER FOODS                             2475 ELK GROVE BLVD, STE 100,                             ELK GROVE, CA  95758","100 ORRINGTON CIR                              SACRAMENTO, CA  95835","PER","7","OLD REPUBLIC TITLE CO 1000 BURNETT AVE STE 400 CONCORD, CA  94520-2088","23","3407","2475 ELK GROVE BLVD, STE 100","ELK GROVE","34","95758","100 ORRINGTON CIR","SACRAMENTO","95835","CA"